Course,City,State/Province,Country,Postal Code,# Holes,Rating,Approximate_Lat,Approximate_Lon
Cabin Creek,Lamar,Arkansas,United States,72846,9,0,35.483900,-93.326796
Cedar Creek Disc Golf Course,West Fork,Arkansas,United States,72774,18,0,35.948327,-94.147185
Cedar Glades,Hot Springs,Arkansas,United States,71913,18,5,34.449239,-93.094266
Cedar Street Park,Trumann,Arkansas,United States,72472,9,0,35.596453,-90.534179
Cherokee Acres Disc Golf Course,Cherokee Village,Arkansas,United States,72529,9,0,36.291822,-91.564287
City Lake Park,Siloam Springs,Arkansas,United States,72761,9,0,36.168814,-94.454856
City of Charleston,Charleston,Arkansas,United States,72933,9,0,35.328642,-94.013024
Clarksville Schools,Clarksville,Arkansas,United States,72830,9,0,35.509167,-93.515619
Cline Park Disc Golf Course,Clarksville,Arkansas,United States,72830,18,0,35.509167,-93.515619
Clinton Disc Golf Course,Clinton,Arkansas,United States,72031,18,0,35.633661,-92.531647
Craighead Forest Disc Golf - Red,Jonesboro,Arkansas,United States,72404,18,0,35.773862,-90.778838
Craighead Forest Disc Golf - Yellow,Jonesboro,Arkansas,United States,72401,18,0,35.886344,-90.656774
Creekside Park Disc Golf Course,Farmington,Arkansas,United States,72730,18,0,36.030477,-94.268676
Cross Hollow Disc Golf Course,Rogers,Arkansas,United States,72758,9,3,36.299665,-94.137210
Danville Disc Golf Course,Danville,Arkansas,United States,72833,9,0,35.021703,-93.472595
Decatur Disc Golf Course,Decatur,Arkansas,United States,72722,9,0,36.343769,-94.469944
Deer Creek Disc Golf Course,Monticello,Arkansas,United States,71655,18,3.75,33.639802,-91.749587
DeGray Lake Resort State Park Disc Golf,Bismarck,Arkansas,United States,71929,18,0,34.303737,-93.159556
DeGray Lower Lake Disc Golf Course,Caddo Valley,Arkansas,United States,71923,18,5,34.085089,-93.045270
Disc Side of Heaven - Champ Course,Jonesboro,Arkansas,United States,72404,18,0,35.773862,-90.778838
Disc Side of Heaven - Rec Course,Jonesboro,Arkansas,United States,72404,18,0,35.773862,-90.778838
Dupree Park,Jacksonville,Arkansas,United States,72076,18,0,34.916182,-92.141483
Eighteens at The Pond - East,Little Rock,Arkansas,United States,72204,18,0,34.717617,-92.358338
Eighteens at The Pond - West,Little Rock,Arkansas,United States,72204,18,0,34.717617,-92.358338
Fair Park,Hope,Arkansas,United States,71801,9,0,33.645886,-93.598921
Fairview Elementary School,Fort Smith,Arkansas,United States,72901,6,0,35.366187,-94.416458
Fellowship Creek Disc Golf Course,Russellville,Arkansas,United States,72801,9,0,35.279126,-93.140877
Forest Home Church,Jonesboro,Arkansas,United States,72401,9,0,35.886344,-90.656774
Future Fuel Disc Golf Course,Batesville,Arkansas,United States,72501,18,0,35.791171,-91.653381
Gentry City Park,Gentry,Arkansas,United States,72734,9,0,36.270250,-94.451058
Greenbrier Disc Golf Course,Greenbrier,Arkansas,United States,72058,18,0,35.245918,-92.374199
Har-Ber Meadows,Springdale,Arkansas,United States,72762,9,0,36.181650,-94.230680
Harding University,Searcy,Arkansas,United States,72143,18,3,35.232983,-91.736474
Harp Elementary School,Springdale,Arkansas,United States,72764,9,0,36.175682,-94.060223
Herman Dierks Disc Golf Course,De Queen,Arkansas,United States,71832,9,0,34.036919,-94.351136
Hickory Hollow,Russellville,Arkansas,United States,72801,9,0,35.279126,-93.140877
Hindman Park,Little Rock,Arkansas,United States,72209,9,0,34.676378,-92.345074
Holcomb Elementary School,Fayetteville,Arkansas,United States,72704,9,0,36.105647,-94.296500
Industrial Park,Searcy,Arkansas,United States,72143,18,0,35.232983,-91.736474
JB Hunt Park - JBeast Junior,Springdale,Arkansas,United States,72762,9,0,36.181650,-94.230680
JB Hunt Park - Main,Springdale,Arkansas,United States,72762,18,2,36.181650,-94.230680
John Brown University Disc Golf Course,Siloam Springs,Arkansas,United States,72761,9,0,36.168814,-94.454856
Keaton Coyle Memorial Disc Golf Course,Prairie Grove,Arkansas,United States,72753,18,0,35.933889,-94.331072
Kerr Station Park,Cabot,Arkansas,United States,72023,18,3,34.964267,-92.063652
KJ Memorial Park,Lowell,Arkansas,United States,72745,18,4,36.246524,-94.102609
Lavaca Elementary,Lavaca,Arkansas,United States,72941,9,0,35.367917,-94.156308
Leslie Disc Golf Course,Leslie,Arkansas,United States,72645,9,0,35.804138,-92.575385
Little Debbie Disc Golf Course,Gentry,Arkansas,United States,72734,9,0,36.270250,-94.451058
London Disc Golf Course,London,Arkansas,United States,72847,9,0,35.377533,-93.273453
Lucas Pond Disc Golf Course,Crossett,Arkansas,United States,71635,18,0,33.131052,-91.996505
McKissick Disc Golf Course,Centerton,Arkansas,United States,72719,9,4,36.367161,-94.295087
Mena Lions Club Disc Golf Course,Mena,Arkansas,United States,71953,18,0,34.608016,-94.197193
Merritt Park,Dardanelle,Arkansas,United States,72834,9,0,35.168824,-93.183821
Mid-South Community College,West Memphis,Arkansas,United States,72301,18,0,35.144685,-90.189236
Morehart Park,Mabelvale,Arkansas,United States,72103,9,0,34.590486,-92.390045
Mossy Bluff Disc Golf Course,Heber Springs,Arkansas,United States,72543,18,0,35.450539,-91.987292
Mulberry Disc Golf Course,Mulberry,Arkansas,United States,72947,9,0,35.572054,-94.028384
Mulerider Disc Golf Course,Magnolia,Arkansas,United States,71753,18,0,33.225678,-93.184674
Nashville Disc Golf Course,Nashville,Arkansas,United States,71852,18,0,33.997681,-93.855553
Newark Disc Golf at Cedar Ridge,Newark,Arkansas,United States,72562,18,0,35.735469,-91.401119
Norman City Park Disc Golf Course,Hamburg,Arkansas,United States,71646,9,0,33.235544,-91.787587
North Arkansas College,Harrison,Arkansas,United States,72601,18,0,36.238028,-93.085992
Northshore,Fayetteville,Arkansas,United States,72764,18,4.25,36.175682,-94.060223
Old Post Park Disc Golf Course,Russellville,Arkansas,United States,72802,18,5,35.318940,-93.081593
