ID,Name, Number of holes, Latitude, Longitude
227,Bellamy Park,18,43.18,-70.89
228,Bellevue State Park,18,39.78,-75.50
229,Belmont Park,18,39.73,-84.14
230,Bemidji DiscGolf Park,18,47.49,-94.90
231,Ben Geren Park - North Yellow,18,35.31,-94.35
232,Ben Geren Park - South Orange,18,35.32,-94.36
233,Ben Geren Park - Massard Creek Disc Golf Course,18,35.32,-94.35
234,Benbrook Park Disc Golf Course,18,30.59,-97.88
235,Bengal Ridge at ISU,18,42.87,-112.41
236,Bennett's Creek Park,18,36.85,-76.48
237,Bernel Road Park,18,40.85,-77.88
238,Bertha Brock County Park,18,42.97,-85.12
239,Bethel University Disc Golf Course,18,45.06,-93.16
240,Northwest Community Park at Bethesda Baptist Church,18,39.88,-86.41
241,Bethesda Park,18,35.94,-78.85
242,Bicentennial Disc Golf Course,21,32.58,-97.34
243,Bicentennial Park,18,38.52,-90.02
244,Big Beaver Disc Golf Course,18,40.81,-80.38
245,Big Bend Disc Golf Course,18,36.12,-98.62
246,Big Bend,18,43.52,-85.58
247,The Big Buckeye,18,39.46,-81.45
248,Big Bull Creek,18,38.77,-94.97
249,Big Creek Park,18,40.57,-90.04
250,Big Creek State Park,18,41.80,-93.73
251,Big Cross Disc Golf Course,18,46.26,-119.14
252,Big Eau Pleine County Park,18,44.74,-89.85
253,Big Hill South,18,37.27,-95.47
254,The Big Muddy Monster at Riverside Park,18,37.76,-89.36
255,Big Portage Lake at Waterloo State Rec. Area,18,42.33,-84.24
256,Big Rock Disc Golf Course,18,41.42,-92.93
257,Big Shunga Park,18,39.02,-95.71
258,Big Sioux State Rec Area Disc Golf Course,18,43.58,-96.60
259,Big Trees Golf Course,18,37.54,-119.65
260,Big Walnut Sports Park,19,39.64,-86.80
261,Big Woods Disc Golf Course,18,42.55,-92.43
262,Bighorn Ridge,18,45.27,-111.30
263,Bijou Community Park,27,38.93,-119.97
264,Bill Allen Memorial Park,18,33.10,-96.86
265,Stony Gorge Disc Golf Course,18,39.59,-122.53
266,Bill Frederick Park; T2-The Turkeynator,18,28.50,-81.48
267,Bill Frederick Park at Turkey Lake: The Original,18,28.50,-81.48
